Hospitals,Health Sub-Centres,Primary Health Centres,Community Health Centres,Area Hospitals,District Hospitals,Teaching Hospitals,Ayurveda Hospitals (incl. Dispensaries),Homeopathic Hospitals (incl. Dispensaries),Unani Hospitals (incl. Dispensaries),Naturopathy Hospitals (incl. Dispensaries),Doctors in all Hospitals,Beds in all Hospitals,Hospitals_encoded,Health Sub-Centres_std,Primary Health Centres_std,Community Health Centres_std,Area Hospitals_std,District Hospitals_std,Teaching Hospitals_std,Ayurveda Hospitals (incl. Dispensaries)_std,Homeopathic Hospitals (incl. Dispensaries)_std,Unani Hospitals (incl. Dispensaries)_std,Naturopathy Hospitals (incl. Dispensaries)_std,Doctors in all Hospitals_std,Beds in all Hospitals_std,Primary Health Centres_log,Teaching Hospitals_log,Homeopathic Hospitals (incl. Dispensaries)_log,Unani Hospitals (incl. Dispensaries)_log,Naturopathy Hospitals (incl. Dispensaries)_log,Doctors in all Hospitals_log,Beds in all Hospitals_log,Health Sub-Centres_Primary Health Centres_ratio,Health Sub-Centres_Community Health Centres_ratio,Health Sub-Centres_Area Hospitals_ratio,Health Sub-Centres_District Hospitals_ratio,Health Sub-Centres_Teaching Hospitals_ratio
ADILABAD,132,22,2,0,0,1,1,1,1,0,48,485,0.0,-0.4394894596869439,-0.0024457115909208623,-0.5045957747289044,-1.2449899597988734,-0.48989794855663554,0.22307942249273854,-1.6959219711056386,-1.0610256016517419,-1.1155016321829005,-0.5897678246195887,-0.17957032863712535,-0.1705062244586057,3.1354942159291497,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,3.8918202981106265,6.186208623900494,6.0,66.0,121.0,177.0,132.0
BHADRADRI,240,29,7,2,0,0,8,5,1,2,71,556,1.0,1.6476179318476487,0.5282737036389213,1.6679693664649897,1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-0.1688884950478643,0.2679357579928642,-1.1155016321829005,0.9337990556476821,-0.06391211335413492,-0.1021857802508156,3.4011973816621555,0.0,1.791759469228055,0.6931471805599453,1.0986122886681098,4.276666119016055,6.322565239927284,8.275862068965518,34.285714285714285,120.0,177.0,175.0
HYDERABAD,53,85,8,3,1,10,6,8,16,1,1168,5798,2.0,-1.9661698664576182,4.774029025477659,2.1024823947037685,2.489979919597747,2.0412414523193148,5.010707028298436,-0.6051837739215141,1.2646567777263187,3.6000279947720872,0.1720156155140467,5.45248189383893,4.941979973794758,4.454347296253507,2.3978952727983707,2.1972245773362196,2.833213344056216,0.6931471805599453,7.063903961472068,8.66544076787644,0.6235294117647059,6.625,17.666666666666668,53.0,5.3
JAGTIAL ,151,17,2,1,0,0,7,1,5,0,44,162,3.0,-0.07231315932437671,-0.38153100818366525,-0.5045957747289044,0.0,-0.48989794855663554,-0.30887920037456107,-0.3870361344846892,-1.0610256016517419,0.14197293500509628,-0.5897678246195887,-0.1996848008602541,-0.4813161326151719,2.8903717578961645,0.0,0.6931471805599453,1.791759469228055,0.0,3.8066624897703196,5.093750200806762,8.882352941176471,75.5,151.0,177.0,175.0
JANGAON ,122,13,0,1,0,0,16,4,4,1,44,278,4.0,-0.6327401440882952,-0.6847992454578608,-1.3736218312064619,0.0,-0.48989794855663554,-0.30887920037456107,1.576292620446735,-0.06430458191828733,-0.17239570679190291,0.1720156155140467,-0.1996848008602541,-0.36969399841652895,2.6390573296152584,0.0,1.6094379124341003,1.6094379124341003,0.6931471805599453,3.8066624897703196,5.631211781821365,9.384615384615385,51.0,122.0,177.0,175.0
JAYASHANKAR ,179,25,4,0,0,0,10,5,4,0,51,332,5.0,0.4687887569994066,0.2250054663647258,0.3644302817486533,-1.2449899597988734,-0.48989794855663554,-0.30887920037456107,0.26740678382578553,0.2679357579928642,-0.17239570679190291,-0.5897678246195887,-0.16448447446977876,-0.31773197042750545,3.258096538021482,0.0,1.791759469228055,1.6094379124341003,0.0,3.9512437185814275,5.808142489980444,7.16,44.75,121.0,177.0,175.0
JOGULAMBA ,93,9,1,1,0,0,11,2,7,0,36,142,6.0,-1.1931671288522134,-0.9880674827320564,-0.9391088029676832,0.0,-0.48989794855663554,-0.30887920037456107,0.48555442326261045,-0.7287852617405903,0.7707102185990946,-0.5897678246195887,-0.23991374530651166,-0.5005613281666621,2.302585092994046,0.0,1.0986122886681098,2.0794415416798357,0.0,3.6109179126442243,4.962844630259907,10.333333333333334,93.0,93.0,177.0,175.0
KAMAREDDY ,201,19,6,2,0,0,8,3,5,1,52,470,7.0,0.8939402626823791,-0.2298968895465675,1.233456338226211,1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-0.1688884950478643,-0.39654492182943885,0.14197293500509628,0.1720156155140467,-0.15945585641399657,-0.1849401211222233,2.995732273553991,0.0,1.3862943611198906,1.791759469228055,0.6931471805599453,3.970291913552122,6.154858094016418,10.578947368421053,33.5,100.5,177.0,175.0
KARIMNAGAR ,142,16,2,0,1,0,8,2,5,0,99,982,8.0,-0.24623877528559276,-0.45734806750221413,-0.5045957747289044,-1.2449899597988734,2.0412414523193148,-0.30887920037456107,-0.1688884950478643,-0.7287852617405903,0.14197293500509628,-0.5897678246195887,0.07688919220776645,0.307736884995925,2.833213344056216,0.0,1.0986122886681098,1.791759469228055,0.0,4.605170185988092,6.890609120147166,8.875,71.0,121.0,142.0,175.0
KHAMMAM ,224,22,4,0,1,1,7,15,2,0,53,594,9.0,1.338416836805487,-0.0024457115909208623,0.3644302817486533,-1.2449899597988734,2.0412414523193148,0.22307942249273854,-0.3870361344846892,3.5903391571043795,-0.8011329903859012,-0.5897678246195887,-0.1544272383582144,-0.06561990870298427,3.1354942159291497,0.6931471805599453,2.772588722239781,1.0986122886681098,0.0,3.9889840465642745,6.38856140554563,10.181818181818182,56.0,121.0,224.0,224.0
KOMARAM BHEEM ,109,18,2,0,0,0,6,2,3,0,46,148,10.0,-0.8839660338100517,-0.3057139488651164,-0.5045957747289044,-1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-0.6051837739215141,-0.7287852617405903,-0.4867643485889021,-0.5897678246195887,-0.18962756474868972,-0.494787769501215,2.9444389791664403,0.0,1.0986122886681098,1.3862943611198906,0.0,3.8501476017100584,5.003946305945459,6.055555555555555,54.5,121.0,177.0,175.0
MAHABUBABAD,168,17,1,1,0,0,10,6,4,1,37,288,11.0,0.2562130041579203,-0.38153100818366525,-0.9391088029676832,0.0,-0.48989794855663554,-0.30887920037456107,0.26740678382578553,0.6001760979040157,-0.17239570679190291,0.1720156155140467,-0.23488512725072946,-0.36007140064078386,2.8903717578961645,0.0,1.9459101490553132,1.6094379124341003,0.6931471805599453,3.6375861597263857,5.666426688112432,9.882352941176471,168.0,168.0,177.0,175.0
MAHABUBNAGAR,218,28,4,1,0,1,17,4,6,0,55,198,12.0,1.222466426164676,0.4524566443203724,0.3644302817486533,0.0,-0.48989794855663554,0.22307942249273854,1.7944402598835598,-0.06430458191828733,0.45634157680209547,-0.5897678246195887,-0.14437000224665,-0.4466747806224896,3.367295829986474,0.6931471805599453,1.6094379124341003,1.9459101490553132,0.0,4.02535169073515,5.293304824724492,7.785714285714286,54.5,218.0,177.0,218.0
MANCHERIAL ,130,16,3,1,0,0,7,3,3,1,45,314,13.0,-0.47813959656721416,-0.45734806750221413,-0.07008274649012555,0.0,-0.48989794855663554,-0.30887920037456107,-0.3870361344846892,-0.39654492182943885,-0.4867643485889021,0.1720156155140467,-0.19465618280447192,-0.33505264642384663,2.833213344056216,0.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,3.828641396489095,5.752572638825633,8.125,43.333333333333336,130.0,177.0,175.0
MEDAK ,160,19,2,1,0,0,11,3,2,1,50,204,14.0,0.10161245663683935,-0.2298968895465675,-0.5045957747289044,0.0,-0.48989794855663554,-0.30887920037456107,0.48555442326261045,-0.39654492182943885,-0.8011329903859012,0.1720156155140467,-0.16951309252556096,-0.44090122195704257,2.995732273553991,0.0,1.3862943611198906,1.0986122886681098,0.6931471805599453,3.9318256327243257,5.3230099791384085,8.421052631578947,80.0,160.0,177.0,175.0
MEDCHAL,105,11,2,0,0,0,4,2,3,0,20,96,15.0,-0.9612663075705921,-0.8364333640949585,-0.5045957747289044,-1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-1.0414790527951638,-0.7287852617405903,-0.4867643485889021,-0.5897678246195887,-0.3203716341990267,-0.5448252779350895,2.4849066497880004,0.0,1.0986122886681098,1.3862943611198906,0.0,3.044522437723423,4.574710978503383,9.545454545454545,52.5,121.0,177.0,175.0
NAGARKURNOOL ,179,24,4,1,0,0,21,5,9,0,33,330,16.0,0.4687887569994066,0.1491884070461769,0.3644302817486533,0.0,-0.48989794855663554,-0.30887920037456107,2.6670308176308595,0.2679357579928642,1.399447502193093,-0.5897678246195887,-0.25499959947385825,-0.3196564899826545,3.2188758248682006,0.0,1.791759469228055,2.302585092994046,0.0,3.5263605246161616,5.802118375377063,7.458333333333333,44.75,179.0,177.0,175.0
NALGONDA ,257,32,2,2,1,0,17,12,13,0,64,1380,17.0,1.9761440953299456,0.755724881594568,-0.5045957747289044,1.2449899597988734,2.0412414523193148,-0.30887920037456107,1.7944402598835598,2.5936181373709246,2.65692206938109,-0.5897678246195887,-0.09911243974461027,0.6907162764705793,3.4965075614664802,0.0,2.5649493574615367,2.6390573296152584,0.0,4.174387269895637,7.2305631534092925,8.03125,128.5,128.5,257.0,175.0
NIRMAL ,110,16,2,2,0,0,3,1,2,1,40,198,18.0,-0.8646409653699165,-0.45734806750221413,-0.5045957747289044,1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-1.2596266922319888,-1.0610256016517419,-0.8011329903859012,0.1720156155140467,-0.21979927308338287,-0.4466747806224896,2.833213344056216,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.713572066704308,5.293304824724492,6.875,55.0,55.0,177.0,175.0
NIZAMABAD ,224,22,8,1,0,1,8,4,4,2,74,967,19.0,1.338416836805487,-0.0024457115909208623,2.1024823947037685,0.0,-0.48989794855663554,0.22307942249273854,-0.1688884950478643,-0.06430458191828733,-0.17239570679190291,0.9337990556476821,-0.04882625918678835,0.2933029883323074,3.1354942159291497,0.6931471805599453,1.6094379124341003,1.6094379124341003,1.0986122886681098,4.31748811353631,6.875232087276577,10.181818181818182,28.0,224.0,177.0,224.0
PEDDAPALLI ,105,15,3,1,0,0,3,4,3,0,26,102,20.0,-0.9612663075705921,-0.533165126820763,-0.07008274649012555,0.0,-0.48989794855663554,-0.30887920037456107,-1.2596266922319888,-0.06430458191828733,-0.4867643485889021,-0.5897678246195887,-0.2901999258643336,-0.5390517192696425,2.772588722239781,0.0,1.6094379124341003,1.3862943611198906,0.0,3.295836866004329,4.634728988229636,7.0,35.0,105.0,177.0,175.0
RAJANNA ,91,13,0,1,0,0,4,1,3,0,23,126,21.0,-1.2318172657324837,-0.6847992454578608,-1.3736218312064619,0.0,-0.48989794855663554,-0.30887920037456107,-1.0414790527951638,-1.0610256016517419,-0.4867643485889021,-0.5897678246195887,-0.30528578003168017,-0.5159574846078542,2.6390573296152584,0.0,0.6931471805599453,1.3862943611198906,0.0,3.1780538303479458,4.844187086458591,7.0,51.0,91.0,177.0,175.0
RANGAREDDY ,232,31,9,2,0,0,6,3,6,0,34,246,22.0,1.4930173843265677,0.6799078222760191,2.5369954229425473,1.2449899597988734,-0.48989794855663554,-0.30887920037456107,-0.6051837739215141,-0.39654492182943885,0.45634157680209547,-0.5897678246195887,-0.24997098141807603,-0.4004863112989132,3.4657359027997265,0.0,1.3862943611198906,1.9459101490553132,0.0,3.5553480614894135,5.5093883366279774,7.483870967741935,25.77777777777778,116.0,177.0,175.0
SANGAREDDY ,198,30,4,2,1,0,8,4,3,6,99,576,23.0,0.8359650573619738,0.6040907629574702,0.3644302817486533,1.2449899597988734,2.0412414523193148,-0.30887920037456107,-0.1688884950478643,-0.06430458191828733,-0.4867643485889021,3.9809328161822233,0.07688919220776645,-0.08294058469932541,3.4339872044851463,0.0,1.6094379124341003,1.3862943611198906,1.9459101490553132,4.605170185988092,6.3578422665081,6.6,49.5,99.0,198.0,175.0
SIDDIPET ,190,33,3,1,0,0,9,6,5,4,71,308,24.0,0.6813645098408929,0.8315419409131168,-0.07008274649012555,0.0,-0.48989794855663554,-0.30887920037456107,0.04925914438896061,0.6001760979040157,0.14197293500509628,2.4573659359149524,-0.06391211335413492,-0.3408262050892937,3.5263605246161616,0.0,1.9459101490553132,1.791759469228055,1.6094379124341003,4.276666119016055,5.733341276897746,5.757575757575758,63.333333333333336,190.0,177.0,175.0
SURYAPET ,172,23,1,2,0,0,14,6,3,0,38,738,25.0,0.33351327791846075,0.07337134772762802,-0.9391088029676832,1.2449899597988734,-0.48989794855663554,-0.30887920037456107,1.139997341573085,0.6001760979040157,-0.4867643485889021,-0.5897678246195887,-0.22985650919494727,0.07294549926774495,3.1780538303479458,0.0,1.9459101490553132,1.3862943611198906,0.0,3.6635616461296463,6.6052979209482015,7.478260869565218,172.0,86.0,177.0,175.0
VIKARABAD ,156,20,4,0,1,0,2,2,2,0,33,266,26.0,0.024312182876298875,-0.15407983022801863,0.3644302817486533,-1.2449899597988734,2.0412414523193148,-0.30887920037456107,-1.4777743316688137,-0.7287852617405903,-0.8011329903859012,-0.5897678246195887,-0.25499959947385825,-0.38124111574742303,3.044522437723423,0.0,1.0986122886681098,1.0986122886681098,0.0,3.5263605246161616,5.58724865840025,7.8,39.0,121.0,156.0,175.0
WANAPARTHY ,99,12,2,1,0,0,11,2,7,0,36,142,27.0,-1.0772167182114027,-0.7606163047764096,-0.5045957747289044,0.0,-0.48989794855663554,-0.30887920037456107,0.48555442326261045,-0.7287852617405903,0.7707102185990946,-0.5897678246195887,-0.23991374530651166,-0.5005613281666621,2.5649493574615367,0.0,1.0986122886681098,2.0794415416798357,0.0,3.6109179126442243,4.962844630259907,8.25,49.5,99.0,177.0,175.0
WARANGAL (R) ,146,17,3,0,0,0,10,5,3,1,43,2007,28.0,-0.1689385015250523,-0.38153100818366525,-0.07008274649012555,-1.2449899597988734,-0.48989794855663554,-0.30887920037456107,0.26740678382578553,0.2679357579928642,-0.4867643485889021,0.1720156155140467,-0.2047134189160363,1.2940531570097962,2.8903717578961645,0.0,1.791759469228055,1.3862943611198906,0.6931471805599453,3.784189633918261,7.60489448081162,8.588235294117647,48.666666666666664,121.0,177.0,175.0
WARANGAL (U),82,11,0,0,0,4,7,5,4,2,30,1541,29.0,-1.4057428816936999,-0.8364333640949585,-1.3736218312064619,-1.2449899597988734,-0.48989794855663554,1.8189552910946374,-0.3870361344846892,0.2679357579928642,-0.17239570679190291,0.9337990556476821,-0.2700854536412048,0.8456401006600752,2.4849066497880004,1.6094379124341003,1.791759469228055,1.6094379124341003,1.0986122886681098,3.4339872044851463,7.340835554123275,7.454545454545454,51.0,121.0,177.0,20.5
YADADRI ,129,18,3,1,0,0,12,4,3,0,32,554,30.0,-0.4974646650073493,-0.3057139488651164,-0.07008274649012555,0.0,-0.48989794855663554,-0.30887920037456107,0.7037020626994354,-0.06430458191828733,-0.4867643485889021,-0.5897678246195887,-0.2600282175296404,-0.1041102998059646,2.9444389791664403,0.0,1.6094379124341003,1.3862943611198906,0.0,3.4965075614664802,6.318968113746434,7.166666666666667,43.0,129.0,177.0,175.0
